npsn,nama_sekolah,nilai_total,provinsi,kota/kab,jenis_sekolah
69756117,"SMAS AL - AZHAR MANDIRI PALU ,More..","561,883",Prov. Sulawesi Tengah,Kota Palu,SMA
20102217,"SMAN 29 JAKARTA ,More..","561,658",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
20222365,"SMAN 2 CIREBON ,More..","561,649",Prov. Jawa Barat,Kota Cirebon,SMA
69989336,"SMA BUDI CENDEKIA ISLAMIC SCHOOL  ,More..","561,491",Prov. Jawa Barat,Kota Depok,SMA
69975824,"MAN INSAN CENDEKIA KOTA KENDARI ,More..","561,315",Prov. Sulawesi Tenggara,Kota Kendari,MA
20403179,"SMAN 4 YOGYAKARTA ,More..","561,313",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
20615025,"SMAS PENABUR BINTARO ,More..","582,565",Prov. Banten,Kota Tangerang Selatan,SMA
20277085,"MAS ZAKARIA ,More..","582,462",Prov. Jawa Barat,Kota Bandung,MA
20219266,"SMAS ST ANGELA ,More..","582,306",Prov. Jawa Barat,Kota Bandung,SMA
69976494,"MAN INSAN CENDEKIA TANAH LAUT ,More..","581,705",Prov. Kalimantan Selatan,Kab. Tanah Laut,MA
20307641,"SMAS TARUNA NUSANTARA ,More..","581,661",Prov. Jawa Tengah,Kab. Magelang,SMA
20246430,"SMAS ISLAM DIAN DIDAKTIKA ,More..","561,296",Prov. Jawa Barat,Kota Depok,SMA
10210836,"SMAS SUTOMO 2 ,More..","561,219",Prov. Sumatera Utara,Kota Medan,SMA
20504500,"SMAN 1 BOJONEGORO ,More..","560,936",Prov. Jawa Timur,Kab. Bojonegoro,SMA
20520820,"SMAN 2 LUMAJANG ,More..","560,914",Prov. Jawa Timur,Kab. Lumajang,SMA
20223020,"SMAN 1 BEKASI ,More..","560,694",Prov. Jawa Barat,Kota Bekasi,SMA
20223819,"SMAN 1 KOTA DEPOK ,More..","560,653",Prov. Jawa Barat,Kota Depok,SMA
20328447,"SMAN 1 SALATIGA ,More..","581,657",Prov. Jawa Tengah,Kota Salatiga,SMA
20219269,"SMAS TARUNA BAKTI ,More..","581,497",Prov. Jawa Barat,Kota Bandung,SMA
69978966,"MAN INSAN CENDEKIA LOMBOK TIMUR ,More..","581,076",Prov. Nusa Tenggara Barat,Kab. Lombok Timur,MA
20103292,"SMAN 103 JAKARTA ,More..","580,890",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
20107304,"SMAS ISLAM AL-AZHAR 1 JAKARTA ,More..","580,574",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
10259371,"SMAS METHODIST 3 MEDAN ,More..","580,203",Prov. Sumatera Utara,Kota Medan,SMA
20238524,"SMK-SMAK BOGOR ,More..","580,148",Prov. Jawa Barat,Kota Bogor,SMK
20102571,"SMAN 66 JAKARTA ,More..","580,146",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
10603865,"SMA NEGERI 01 PALEMBANG ,More..","560,455",Prov. Sumatera Selatan,Kota Palembang,SMA
20525856,"SMAN 1 GLAGAH ,More..","560,196",Prov. Jawa Timur,Kab. Banyuwangi,SMA
20305010,"SMAN 1 KEBUMEN ,More..","560,010",Prov. Jawa Tengah,Kab. Kebumen,SMA
